Index,Date,Open,High,Low,Close*,Adj,Close**
NASDAQ,01/03/1995,794.33,829.92,790.35,817.21,817.21,
NASDAQ,01/02/1995,756.68,796.02,756.68,793.73,793.73,
NASDAQ,01/01/1995,751.31,774.31,740.47,755.2,755.2,
NASDAQ,01/12/1994,748.83,751.98,710.94,751.96,751.96,
NASDAQ,01/11/1994,776.25,776.86,728.78,750.32,750.32,
NASDAQ,01/10/1994,764.47,778.81,737.62,777.49,777.49,
NASDAQ,01/09/1994,763,779.58,752.49,764.29,764.29,
NASDAQ,01/08/1994,722.84,767.6,715.91,765.62,765.62,
NASDAQ,01/07/1994,706.29,725.19,699.41,722.16,722.16,
NASDAQ,01/06/1994,733.18,744.94,690.95,705.96,705.96,
NASDAQ,01/05/1994,733.97,742.46,703.84,735.19,735.19,
NASDAQ,01/04/1994,723.06,755.35,703.4,733.84,733.84,
NASDAQ,01/03/1994,792.1,804.43,731.85,743.46,743.46,
NASDAQ,01/02/1994,798.42,799.99,767.3,792.5,792.5,
NASDAQ,01/01/1994,774.11,800.63,768.41,800.47,800.47,
NASDAQ,01/12/1993,759.9,776.87,750.3,776.8,776.8,
NASDAQ,01/11/1993,780.37,786.1,737.67,754.39,754.39,
NASDAQ,01/10/1993,761.62,791.2,758.9,779.26,779.26,
NASDAQ,01/09/1993,743.65,766.57,724.48,762.78,762.78,
NASDAQ,01/08/1993,706.38,742.91,705.06,742.84,742.84,
NASDAQ,01/07/1993,702.01,713.96,694.53,704.7,704.7,
NASDAQ,01/06/1993,700.96,706.63,682.89,703.95,703.95,
NASDAQ,01/05/1993,662.75,707.05,661.43,700.53,700.53,
NASDAQ,01/04/1993,690.82,691.15,644.71,661.42,661.42,
NASDAQ,01/03/1993,670.88,697.41,668.74,690.13,690.13,
NASDAQ,01/02/1993,697.98,711.28,647.79,670.77,670.77,
NASDAQ,01/01/1993,675.31,711.03,670.51,696.34,696.34,
NASDAQ,01/12/1992,650.58,676.95,648.75,676.95,676.95,
NASDAQ,01/11/1992,603.76,652.75,603.31,652.73,652.73,
NASDAQ,01/10/1992,581.08,606.58,551.72,605.17,605.17,
NASDAQ,01/09/1992,562.51,594.21,562.36,583.27,583.27,
NASDAQ,01/08/1992,579.62,583.84,550.36,563.12,563.12,
NASDAQ,01/07/1992,563.73,581.01,553.76,580.83,580.83,
NASDAQ,01/06/1992,583.67,591.07,545.95,563.6,563.6,
NASDAQ,01/05/1992,579.73,591.21,571.01,585.31,585.31,
NASDAQ,01/04/1992,598.62,603.17,557.06,578.68,578.68,
NASDAQ,01/03/1992,634.04,637.21,599.6,603.77,603.77,
NASDAQ,01/02/1992,620.57,646.09,617.08,633.47,633.47,
NASDAQ,01/01/1992,580.04,632.99,576.13,620.21,620.21,
NASDAQ,01/12/1991,519.48,586.35,518.63,586.34,586.34,
NASDAQ,01/11/1991,542.17,558.16,516.39,523.9,523.9,
NASDAQ,01/10/1991,527.14,543.01,513.21,542.98,542.98,
